HashEncode_0,HashEncode_1,HashEncode_2,HashEncode_3,HashEncode_4,HashEncode_5,HashEncode_6,HashEncode_7,companyid,Round_trip,ProfitMargin(%),Scaled_gross_log,Scaled_Distance_log,Scaled_FlightTime_log,Country_France,Country_Germany,Country_Italy,Country_Monaco,Country_Other,Country_Sweden,Country_Switzerland,Country_Turkey,Country_United Kingdom,Country_United States,Product_Tour Ops,passengersRange_1,passengersRange_2,passengersRange_3,categ_aircraft,categ_0,categ_1,categ_2,categ_3,categ_4,categ_5,Class
0,0,0,0,1,0,1,0,2876,1,2,0.4743610492543675,0.39755490633030216,0.4402273532863391,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1917.0338350000002,0.0,0.0,0.0,0.0,0.0,2
1,0,0,0,1,0,0,0,3931,1,1,0.4821315680221453,0.4487148183015764,0.4494325676346799,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0.0,0.0,0.0,0.0,0.0,2011.712307,1
0,0,0,1,0,0,0,1,3260,1,3,0.6877164606684051,0.3872104075829026,0.3683949440456761,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7202.327712,0.0,0.0,0.0,0.0,0.0,0
1,0,0,0,1,0,0,0,2121,1,1,0.4614954745100066,0.4476713306890735,0.4494325676346799,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,1769.970725,0.0,0.0,0.0,0.0,1
0,0,0,0,1,0,1,0,4040,1,2,0.6510407288315265,0.654317212464025,0.6348580772088942,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0,5736.6389869999975,0.0,0.0,0.0,0.0,1
0,0,0,0,1,0,0,1,3348,1,4,0.7537900402830497,0.5308611972637344,0.5120597625270021,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.0,10851.62568,0.0,0.0,0.0,0.0,0
0,0,0,0,1,0,1,0,4085,1,0,0.5949703898249302,0.7298269230919622,0.7193501936402186,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,4051.233795,0.0,0.0,0.0,0.0,2
0,0,0,0,1,1,0,0,2825,0,2,0.4188474704138966,0.21988812059768825,0.3174290386044471,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1358.5,0.0,0.0,0.0,0.0,0.0,2
0,0,0,0,0,2,0,0,2825,0,2,0.4188474704138966,0.21988812059768825,0.3174290386044471,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1358.5,0.0,0.0,0.0,0.0,0.0,2
0,0,0,1,1,0,0,0,2825,0,1,0.37428118317646897,0.2664921827278465,0.33538469915249297,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1030.35,0.0,0.0,0.0,0.0,0.0,2
0,0,0,1,0,1,0,0,2825,0,1,0.37428118317646897,0.2664921827278465,0.33538469915249297,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1030.35,0.0,0.0,0.0,0.0,0.0,2
0,0,0,1,1,0,0,0,2825,0,2,0.4230991934128153,0.21988812059768825,0.2592310874020405,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1394.81,0.0,0.0,0.0,0.0,0.0,2
0,0,0,1,0,1,0,0,2825,0,2,0.4230991934128153,0.21988812059768825,0.2592310874020405,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1394.81,0.0,0.0,0.0,0.0,0.0,2
1,0,0,0,1,0,0,0,3236,0,4,0.6272303734738123,0.3546823991261884,0.3828476969319353,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4948.861761,0.0,0.0,0.0,0.0,0.0,0
0,0,0,1,0,0,1,0,3018,0,4,0.7326152318694854,0.2454498401287467,0.24559662936378404,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0.0,0.0,0.0,0.0,0.0,9515.761676,1
0,0,0,1,0,0,1,0,3573,0,1,0.5315422693043295,0.4896728246274321,0.4402273532863391,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2733.336093,0.0,0.0,0.0,0.0,0.0,0
