enqid,Contactid,ownerid,companyid,Enquiry No.,Job Status,industrycode,Industry,Office Country Code,Product,booked date,creation date,Flight date,Flight Year,Route code,Aircraft code,no of sectors,passengers,Total Flight Time (Dec),Total Distance (NMi),gross,Cost,Country,Round_trip
1,3871,38,2894,EN056656,Closed,COMPETITOR,Competitor company,IT,CJ - Adhoc,9/7/2015,5/31/2007,9/17/2015,2015,MXP/NCE/LGG/NCE/MXP,"B737-400,B737-800",4,189,3.41,847.9,4230.814787,67699.12243,Italy,1
1,3871,38,2894,EN056656,Closed,COMPETITOR,Competitor company,IT,CJ - Adhoc,9/7/2015,5/31/2007,9/30/2015,2015,LDE/EBU/FCO,"B737-400,B737-800",2,170,1.42,410.87,4230.814787,67699.12243,Italy,0
1,3871,38,2894,EN056656,Closed,COMPETITOR,Competitor company,IT,CJ - Adhoc,9/7/2015,5/31/2007,10/1/2015,2015,FCO/EBU,"B737-400,B737-800",1,168,1.42,410.87,4230.814787,67699.12243,Italy,0
2,5100,110,2482,EN158893,Closed,TOUR,Tour Operators,FR,CJ - Adhoc,3/1/2013,1/4/2013,2/16/2014,2014,CDG/USH/CDG,B777-2A+,1,364,1.33,450.96,38328.97753,503270.745,France,1
3,5123,35,2783,EN162421,Closed,CONF,"Conference, Incentive, etc",DE,CJ - Adhoc,1/24/2014,2/26/2013,5/9/2014,2014,FMO/STN/FMO,B737-700,2,148,2.34,550.88,846.888926,47759.11866,Germany,1
3,5123,35,2783,EN162421,Closed,TRAV,Travel Agents,DE,CJ - Adhoc,1/24/2014,2/26/2013,5/9/2014,2014,FMO/STN/FMO,B737-700,2,148,2.34,550.88,846.888926,47759.11866,Germany,1
4,4295,110,3906,EN163019,Invoiced,TRAV,Travel Agents,FR,Seat Sales,3/14/2013,3/8/2013,1/4/2014,2014,CDG/EZE SCL/CDG,,2,,,12288.34,1122.024258,35790.46424,France,1
5,5100,110,2482,EN164186,Invoiced,TOUR,Tour Operators,FR,Tour Ops,4/2/2013,4/2/2013,1/23/2014,2014,CDG/SSA/CDG,B777-3ER,2,442,19.17,8598.58,12373.96822,296795.6922,France,1
6,5100,110,2482,EN164189,Closed,TOUR,Tour Operators,FR,Tour Ops,4/2/2013,4/2/2013,3/13/2014,2014,CDG/SSA/CDG,B777-3ER,2,442,19.17,8598.58,13440.41017,300320.9337,France,1
7,5100,110,2482,EN164191,Invoiced,TOUR,Tour Operators,FR,Tour Ops,4/2/2013,4/2/2013,3/27/2014,2014,CDG/SSA/CDG,B777-3ER,2,442,19.17,8598.58,4366.875617,71928.07654,France,1
8,5100,110,2482,EN164193,Closed,TOUR,Tour Operators,FR,Tour Ops,4/2/2013,4/2/2013,4/10/2014,2014,CDG/SSA/CDG,B777-3ER,2,442,19.17,8598.58,4455.482584,72442.01513,France,1
9,3850,27,2209,EN164610,Closed,TRAV,Travel Agents,FR,CJ - Adhoc,10/3/2013,4/10/2013,2/17/2014,2014,VIE/SXB,B737-700,1,148,1.58,357.25,9344.420532,47575.53808,France,0
9,3850,27,2209,EN164610,Closed,TRAV,Travel Agents,FR,CJ - Adhoc,10/3/2013,4/10/2013,2/26/2014,2014,SXB/LJU,B737-700,1,148,1.42,310.36,9344.420532,47575.53808,France,0
10,5261,166,4040,EN164758,Invoiced,CONF,"Conference, Incentive, etc",UK,CJ - Adhoc,7/17/2013,4/15/2013,1/12/2014,2014,AYT/SAW/TFS/SAW/AYT,A320-200,4,180,11.75,4732.8,2500.000001,82928.95442,United Kingdom,1
11,3780,88,3237,EN165175,Closed,TRAV,Travel Agents,AT,CJ - Adhoc,6/24/2013,4/22/2013,1/19/2014,2014,BRU/INN,A319,1,150,1.08,346.67,1916.219158,25255.54161,Austria,0
12,4798,144,2928,EN165229,Closed,TOUR,Tour Operators,AT,CJ - Adhoc,3/3/2014,4/23/2013,5/29/2014,2014,VIE/OLB/VIE/OLB/VIE,"A320-200,A321-200",4,180,6.68,2104.88,12041.59102,135629.6419,Austria,1
12,4798,144,2928,EN165229,Closed,TOUR,Tour Operators,AT,CJ - Adhoc,3/3/2014,4/23/2013,5/29/2014,2014,VIE/OLB/VIE/OLB/VIE,"A320-200,A321-200",4,212,6.68,2104.88,12041.59102,135629.6419,Austria,1
13,3664,24,2736,EN165257,Closed,TOUR,Tour Operators,AT,Tour Ops,2/10/2014,4/24/2013,4/28/2014,2014,SZG/BOJ/SZG/BOJ/SZG,A320-200,4,180,4.16,1370.34,3616.260703,57652.34018,Austria,1
14,4164,186,3072,EN165387,Closed,OPERATOR,Aircraft Operator,US,CJ - Adhoc,4/25/2013,4/25/2013,2/3/2014,2014,CCS/GUA/MEX,MD83,2,165,5.5,1968.66,40928.88393,568612.6108,United States,0
15,5426,40,3915,EN165569,Closed,FINANCE,"Banks, Insurance companies etc",US,CJ - Adhoc,8/23/2013,4/30/2013,1/20/2014,2014,YXU/LAS/YXU,B737-800,2,168,8.5,3230.26,9199.334233,85703.76252,United States,1
16,4237,61,2509,EN165979,Invoiced,CONF,"Conference, Incentive, etc",UK,CJ - Adhoc,6/21/2013,5/9/2013,1/16/2014,2014,STN/INN STN/SZG/STN,B737-300,3,130,3.58,1071.58,2722.89616,68295.62667,United Kingdom,1
18,5089,35,2187,EN166680,Invoiced,ENGINEER,"Civil, electric ing, construct",DE,CJ - Adhoc,11/5/2013,5/23/2013,1/13/2014,2014,NUE/KLR/NUE,METRO3,2,,4.66,939.94,1003.764116,6357.172731,Germany,1
18,5089,35,2187,EN166680,Invoiced,ENGINEER,"Civil, electric ing, construct",DE,CJ - Adhoc,11/5/2013,5/23/2013,1/13/2014,2014,NUE/OSK/NUE,METRO3,2,,4.66,1018.38,1003.764116,6357.172731,Germany,1
19,4017,178,3670,EN166681,Closed,CONF,"Conference, Incentive, etc",FR,CJ - Adhoc,5/24/2013,5/23/2013,3/21/2014,2014,CDG/DUB/CDG,B737-3QC,2,147,2.92,846.52,2250.907292,40011.54734,France,1
20,5088,165,3224,EN167159,Closed,PILGRIM,Pilgrims or religion related,DE,Tour Ops,12/1/2013,6/3/2013,5/10/2014,2014,VIE/ZRH/LDE/ZRH/LDE/ZRH/LDE/VIE/LDE/ZRH/LDE/ZRH/LDE/ZRH/VIE,A320-200,14,180,9.32,3097.43,52136.4004,203459.3167,Germany,1
21,5204,39,2305,EN167209,Closed,PILGRIM,Pilgrims or religion related,FR,CJ - Adhoc,7/9/2013,6/4/2013,5/19/2014,2014,MPL/KRK WAW/MPL,B737-500,2,131,5.17,1607.53,1493.645817,54835.78148,France,1
22,5084,176,3657,EN167706,Closed,TOUR,Tour Operators,DE,CJ - Adhoc,7/4/2013,6/13/2013,3/1/2014,2014,CGN/CGN,B737-700,1,144,6,,4640.795119,41217.8324,Germany,1
23,5324,27,2876,EN167808,Closed,CONF,"Conference, Incentive, etc",FR,CJ - Adhoc,9/4/2013,6/14/2013,4/3/2014,2014,MAD/TLS/CDG/TLS/MAD,CRJ900,4,90,3,655.2,1917.033835,25147.56006,France,1
24,4658,102,2865,EN167918,Invoiced,OPERATOR,Aircraft Operator,DE,Other,6/17/2013,6/17/2013,1/28/2014,2014,LGW/TOS BFS/TOS/LGW,A319,3,,9.34,3597.05,890.708983,890.708983,Germany,1
25,4658,102,2865,EN167920,Invoiced,OPERATOR,Aircraft Operator,DE,Other,6/17/2013,6/17/2013,2/4/2014,2014,LGW/TOS/BFS LGW/BGO/MAN LGW/TOS/BOH LGW/TOS/LGW/BGO/MAN BRS/TOS/MAN LGW/TOS/BRS MAN/TOS/LGW/TOS/MAN LGW/BGO/LBA,A319,20,,53.37,20120.82,5256.464963,5256.464963,Germany,0
26,4658,102,2865,EN167941,Invoiced,OPERATOR,Aircraft Operator,DE,Other,6/18/2013,6/18/2013,3/4/2014,2014,LGW/TOS/GLA LGW/BGO/MAN BOH/BGO/LGW/TOS/MAN LGW/TOS/LGW BRS/BGO/LGW/TOS/LGW/TOS/MAN/BGO/BOH TOS/LGW TOS/MAN,A319,20,,50.37,18865.49,5031.167277,5031.167277,Germany,0
27,4658,102,2865,EN167942,Invoiced,OPERATOR,Aircraft Operator,DE,Other,6/18/2013,6/18/2013,4/1/2014,2014,LGW/BGO/MAN/BGO/LGW,A319,4,,6.34,2122.56,732.957456,732.957456,Germany,1
30,5338,27,3931,EN168596,Closed,TRAV,Travel Agents,FR,CJ - Adhoc,9/4/2013,6/28/2013,3/1/2014,2014,CDG/VCE/CDG/VCE/CDG,B737-300,4,147,3.16,901.92,2011.712307,39137.24843,France,1
31,4541,165,3260,EN168817,Closed,PILGRIM,Pilgrims or religion related,AT,Tour Ops,12/1/2013,7/3/2013,4/15/2014,2014,LUX/LDE/PAD/LUX,"A320-200,B737-800",3,186,2,614.2,7202.327712,67077.89509,Austria,1
32,5156,27,2121,EN169043,Invoiced,TRAV,Travel Agents,FR,CJ - Adhoc,11/15/2013,7/9/2013,1/17/2014,2014,BES/GVA/BES/GVA/BES,B737-3QC,4,147,3.16,896.06,1769.970725,46758.67838,France,1
33,3754,110,2534,EN169085,Closed,TOUR,Tour Operators,UK,CJ - Adhoc,10/2/2013,7/10/2013,7/3/2014,2014,CDG/HAM/CDG,,2,,,785.16,7843.201933,87916.33146,United Kingdom,1
34,5261,166,4040,EN169304,Invoiced,CONF,"Conference, Incentive, etc",UK,CJ - Adhoc,7/17/2013,7/15/2013,1/12/2014,2014,FCO/TFS/FCO,B737-400,2,170,9,3258.04,5736.638987,78922.72767,United Kingdom,1
35,4951,24,3348,EN169321,Closed,PILGRIM,Pilgrims or religion related,AT,Tour Ops,9/25/2013,7/15/2013,5/15/2014,2014,VIE/LDE/VIE/LDE/VIE,A320-200,4,180,4.5,1506.7,10851.62568,46336.02905,Austria,1
36,4426,39,4085,EN169347,Closed,CAR,Car / Motor-related Co s,FR,CJ - Adhoc,9/30/2013,7/15/2013,1/13/2014,2014,CDG/KTT CDG/KTT/CDG KTT/CDG,B737-800,4,189,14.5,5221.68,4051.233795,145598.2685,France,1
38,3805,32,2825,EN169853,Invoiced,MGMT,Managment Company P-91,UK,CJ - Adhoc,8/12/2013,7/24/2013,1/27/2014,2014,NCL/FAB/CWL/NCL HUY/CWL/LGW,E145,5,50,1.5,215.96,1358.5,19100,United Kingdom,0
38,3805,32,2825,EN169853,Invoiced,SPORT,Sports Teams & Tour Organisers,UK,CJ - Adhoc,8/12/2013,7/24/2013,1/27/2014,2014,NCL/FAB/CWL/NCL HUY/CWL/LGW,E145,5,50,1.5,215.96,1358.5,19100,United Kingdom,0
39,3805,32,2825,EN169854,Closed,MGMT,Managment Company P-91,UK,CJ - Adhoc,8/12/2013,7/24/2013,2/8/2014,2014,NCL/FAB/MAN/LGW,E145,3,50,1.66,288.94,1030.35,18800,United Kingdom,0
39,3805,32,2825,EN169854,Closed,SPORT,Sports Teams & Tour Organisers,UK,CJ - Adhoc,8/12/2013,7/24/2013,2/8/2014,2014,NCL/FAB/MAN/LGW,E145,3,50,1.66,288.94,1030.35,18800,United Kingdom,0
40,3805,32,2825,EN169855,Closed,MGMT,Managment Company P-91,UK,CJ - Adhoc,8/12/2013,7/24/2013,3/7/2014,2014,FAB/CWL NCL/FAB CWL/LGW,E145,3,50,1.08,215.96,1394.81,18100,United Kingdom,0
40,3805,32,2825,EN169855,Closed,SPORT,Sports Teams & Tour Organisers,UK,CJ - Adhoc,8/12/2013,7/24/2013,3/7/2014,2014,FAB/CWL NCL/FAB CWL/LGW,E145,3,50,1.08,215.96,1394.81,18100,United Kingdom,0
42,3658,12,3236,EN170076,Invoiced,TRAV,Travel Agents,DE,CJ - Adhoc,9/13/2013,7/29/2013,3/31/2014,2014,WAW/VNO/TLL,CRJ900,2,88,2.17,501.26,4948.861761,28126.03101,Germany,0
43,4658,196,2865,EN170204,Invoiced,OPERATOR,Aircraft Operator,DE,Other,7/31/2013,7/31/2013,1/5/2014,2014,TLS/FUE/TLS,A319,2,150,6,2337.78,451.693851,451.693851,Germany,1
44,4658,196,2865,EN170205,Invoiced,OPERATOR,Aircraft Operator,DE,Other,7/31/2013,7/31/2013,1/12/2014,2014,TLS/FUE/ACE/TLS,A319,3,150,6.25,2338.2,451.693851,451.693851,Germany,1
45,4658,196,2865,EN170206,Invoiced,OPERATOR,Aircraft Operator,DE,Other,7/31/2013,7/31/2013,1/19/2014,2014,TLS/FUE/ACE/TLS,A319,3,150,6.25,2338.2,451.693851,451.693851,Germany,1
46,4658,196,2865,EN170207,Invoiced,OPERATOR,Aircraft Operator,DE,Other,7/31/2013,7/31/2013,1/26/2014,2014,TLS/FUE/ACE/TLS,A319,3,150,6.25,2338.2,403.178586,451.693851,Germany,1
52,4658,196,2865,EN170224,Invoiced,OPERATOR,Aircraft Operator,DE,Other,7/31/2013,7/31/2013,1/4/2014,2014,TLS/TFS/TLS,A319,2,150,6.5,2546.12,451.693851,451.693851,Germany,1
53,4658,196,2865,EN170225,Invoiced,OPERATOR,Aircraft Operator,DE,Other,7/31/2013,7/31/2013,1/11/2014,2014,TLS/TFS/TLS,A319,2,150,6.5,2546.12,451.693851,451.693851,Germany,1
54,4658,196,2865,EN170226,Invoiced,OPERATOR,Aircraft Operator,DE,Other,7/31/2013,7/31/2013,1/18/2014,2014,TLS/TFS/TLS,A319,2,150,6.5,2546.12,451.693851,451.693851,Germany,1
55,4658,196,2865,EN170227,Invoiced,OPERATOR,Aircraft Operator,DE,Other,7/31/2013,7/31/2013,1/25/2014,2014,TLS/TFS/TLS,A319,2,150,6.5,2546.12,451.693851,451.693851,Germany,1
62,5389,24,3018,EN170437,Closed,CONF,"Conference, Incentive, etc",AT,CJ - Adhoc,10/29/2013,8/6/2013,5/1/2014,2014,BUD/PRG,B737-700,1,148,1,253.35,9515.761676,22280.90444,Austria,0
63,4639,35,3573,EN170443,Closed,CAR,Car / Motor-related Co s,DE,CJ - Adhoc,10/30/2013,8/6/2013,2/20/2014,2014,FRA/KTT,"E170,E175",1,70,3,1164.89,2733.336093,55549.66887,Germany,0
63,4639,35,3573,EN170443,Closed,CAR,Car / Motor-related Co s,DE,CJ - Adhoc,10/30/2013,8/6/2013,2/20/2014,2014,FRA/KTT/FRA,"E170,E175",2,70,6,2329.78,2733.336093,55549.66887,Germany,1
63,4639,35,3573,EN170443,Closed,CAR,Car / Motor-related Co s,DE,CJ - Adhoc,10/30/2013,8/6/2013,2/24/2014,2014,KTT/FRA,"E170,E175",1,82,3,1164.89,2733.336093,55549.66887,Germany,0
63,4639,35,3573,EN170443,Closed,CAR,Car / Motor-related Co s,DE,CJ - Adhoc,10/30/2013,8/6/2013,2/25/2014,2014,KTT/FRA,"E170,E175",1,82,3.17,1164.89,2733.336093,55549.66887,Germany,0
64,4246,61,3020,EN170448,Closed,MGMT,Managment Company P-91,UK,CJ - Adhoc,8/13/2013,8/6/2013,2/21/2014,2014,EDI/FCO EDI/FCO/EDI,B737-300,3,148,6.42,2086.14,555.71,52911.68,United Kingdom,1
65,5003,144,3194,EN170450,Closed,CONF,"Conference, Incentive, etc",AT,CJ - Adhoc,4/10/2014,8/6/2013,6/11/2014,2014,VIE/SZG/BCN/SZG/VIE,B737-400,4,168,6,1487.1,3946.508405,57591.7768,Austria,1
66,4345,102,3793,EN170465,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,1/5/2014,2014,LGW/GNB/LGW,B757-200,2,235,3.58,822.2,1880.004049,131196.82,United Kingdom,1
66,4345,102,3793,EN170465,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,1/12/2014,2014,LGW/GNB/LGW,B757-200,2,235,3.58,822.2,1880.004049,131196.82,United Kingdom,1
66,4345,102,3793,EN170465,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,1/19/2014,2014,LGW/GNB/LGW,B757-200,2,235,3.58,822.2,1880.004049,131196.82,United Kingdom,1
66,4345,102,3793,EN170465,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,1/26/2014,2014,LGW/GNB/LGW,B757-200,2,235,3.58,822.2,1880.004049,131196.82,United Kingdom,1
67,4345,102,3793,EN170466,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,2/2/2014,2014,LGW/GNB/LGW,B757-200,2,235,3.58,822.2,1880,137388.29,United Kingdom,1
67,4345,102,3793,EN170466,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,2/9/2014,2014,LGW/GNB/LGW,B757-200,2,235,3.58,822.2,1880,137388.29,United Kingdom,1
67,4345,102,3793,EN170466,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,2/16/2014,2014,LGW/GNB/LGW,B757-200,2,235,3.58,822.2,1880,137388.29,United Kingdom,1
67,4345,102,3793,EN170466,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,2/23/2014,2014,LGW/GNB/LGW,B757-200,2,235,3.58,822.2,1880,137388.29,United Kingdom,1
68,4345,102,3793,EN170467,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,3/2/2014,2014,LGW/GNB/LGW,"A321,B757-200",2,235,3.58,822.2,2093.15,164999.94,United Kingdom,1
68,4345,102,3793,EN170467,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,3/9/2014,2014,LGW/GNB/LGW,"A321,B757-200",2,235,3.58,822.2,2093.15,164999.94,United Kingdom,1
68,4345,102,3793,EN170467,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,3/16/2014,2014,LGW/GNB/LGW,"A321,B757-200",2,220,3.58,822.2,2093.15,164999.94,United Kingdom,1
68,4345,102,3793,EN170467,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,3/23/2014,2014,LGW/GNB/LGW,"A321,B757-200",2,220,3.58,822.2,2093.15,164999.94,United Kingdom,1
68,4345,102,3793,EN170467,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,3/30/2014,2014,LGW/GNB/LGW,"A321,B757-200",2,220,3.58,822.2,2093.15,164999.94,United Kingdom,1
69,4345,102,3793,EN170468,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,4/6/2014,2014,LGW/GNB/LGW,A321,2,220,3.58,822.2,790.48,57697.81,United Kingdom,1
69,4345,102,3793,EN170468,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,4/13/2014,2014,LGW/GNB/LGW,A321,2,220,3.58,822.2,790.48,57697.81,United Kingdom,1
74,5391,102,2980,EN170480,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,1/4/2014,2014,LGW/CMF/LGW,B737-700,2,148,2.84,818.08,,,United Kingdom,1
74,5391,102,2980,EN170480,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,1/5/2014,2014,BRS/CMF/BRS,B737-700,2,148,3.16,968.4,,,United Kingdom,1
74,5391,102,2980,EN170480,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,1/5/2014,2014,LGW/CMF/LGW,B737-700,2,148,2.84,818.08,,,United Kingdom,1
74,5391,102,2980,EN170480,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,1/11/2014,2014,LGW/CMF/LGW,B737-700,2,148,2.84,818.08,,,United Kingdom,1
74,5391,102,2980,EN170480,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,1/12/2014,2014,BRS/CMF/BRS,B737-700,2,,3.16,968.4,,,United Kingdom,1
74,5391,102,2980,EN170480,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,1/12/2014,2014,LGW/CMF/LGW,B737-700,2,,2.84,818.08,,,United Kingdom,1
74,5391,102,2980,EN170480,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,1/18/2014,2014,LGW/CMF/LGW,B737-700,2,,2.84,818.08,,,United Kingdom,1
75,5391,102,2980,EN170481,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,2/1/2014,2014,LGW/CMF/LGW,B737-700,2,148,3.5,818.08,14048.51456,321610.85,United Kingdom,1
75,5391,102,2980,EN170481,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,2/2/2014,2014,BRS/CMF/BRS,B737-700,2,148,3.75,968.4,14048.51456,321610.85,United Kingdom,1
75,5391,102,2980,EN170481,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,2/2/2014,2014,LGW/CMF/LGW,B737-700,2,148,3.59,818.08,14048.51456,321610.85,United Kingdom,1
75,5391,102,2980,EN170481,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,2/8/2014,2014,LGW/CMF/LGW,B737-700,2,148,3.5,818.08,14048.51456,321610.85,United Kingdom,1
75,5391,102,2980,EN170481,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,2/9/2014,2014,BRS/CMF/BRS,B737-700,2,148,3.75,968.4,14048.51456,321610.85,United Kingdom,1
75,5391,102,2980,EN170481,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,2/9/2014,2014,LGW/CMF/LGW,B737-700,2,148,3.59,818.08,14048.51456,321610.85,United Kingdom,1
75,5391,102,2980,EN170481,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,2/15/2014,2014,LGW/CMF/LGW,B737-700,2,148,3.5,818.08,14048.51456,321610.85,United Kingdom,1
75,5391,102,2980,EN170481,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,2/16/2014,2014,BRS/CMF/BRS,B737-700,2,148,3.75,968.4,14048.51456,321610.85,United Kingdom,1
75,5391,102,2980,EN170481,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,2/16/2014,2014,LGW/CMF/LGW,B737-700,2,148,3.59,818.08,14048.51456,321610.85,United Kingdom,1
75,5391,102,2980,EN170481,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,2/22/2014,2014,LGW/CMF/LGW,B737-700,2,148,3.5,818.08,14048.51456,321610.85,United Kingdom,1
75,5391,102,2980,EN170481,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,2/23/2014,2014,BRS/CMF/BRS,B737-700,2,148,3.75,968.4,14048.51456,321610.85,United Kingdom,1
75,5391,102,2980,EN170481,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,2/23/2014,2014,LGW/CMF/LGW,B737-700,2,148,3.59,818.08,14048.51456,321610.85,United Kingdom,1
76,5391,102,2980,EN170482,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,3/1/2014,2014,LGW/CMF/LGW,B737-700,2,148,3.5,818.08,17700.02351,404954.93,United Kingdom,1
76,5391,102,2980,EN170482,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,3/2/2014,2014,BRS/CMF/BRS,B737-700,2,148,3.75,968.4,17700.02351,404954.93,United Kingdom,1
76,5391,102,2980,EN170482,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,3/2/2014,2014,LGW/CMF/LGW,B737-700,2,148,3.59,818.08,17700.02351,404954.93,United Kingdom,1
76,5391,102,2980,EN170482,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,3/8/2014,2014,LGW/CMF/LGW,B737-700,2,148,3.5,818.08,17700.02351,404954.93,United Kingdom,1
76,5391,102,2980,EN170482,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,3/9/2014,2014,BRS/CMF/BRS,B737-700,2,148,3.75,968.4,17700.02351,404954.93,United Kingdom,1
76,5391,102,2980,EN170482,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,3/9/2014,2014,LGW/CMF/LGW,B737-700,2,148,3.59,818.08,17700.02351,404954.93,United Kingdom,1
76,5391,102,2980,EN170482,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,3/15/2014,2014,LGW/CMF/LGW,B737-700,2,148,3.5,818.08,17700.02351,404954.93,United Kingdom,1
76,5391,102,2980,EN170482,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,3/16/2014,2014,BRS/CMF/BRS,B737-700,2,148,3.75,968.4,17700.02351,404954.93,United Kingdom,1
76,5391,102,2980,EN170482,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,3/16/2014,2014,LGW/CMF/LGW,B737-700,2,148,3.59,818.08,17700.02351,404954.93,United Kingdom,1
76,5391,102,2980,EN170482,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,3/22/2014,2014,LGW/CMF/LGW,B737-700,2,148,3.5,818.08,17700.02351,404954.93,United Kingdom,1
76,5391,102,2980,EN170482,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,3/23/2014,2014,BRS/CMF/BRS,B737-700,2,148,3.75,968.4,17700.02351,404954.93,United Kingdom,1
76,5391,102,2980,EN170482,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,3/23/2014,2014,LGW/CMF/LGW,B737-700,2,148,3.59,818.08,17700.02351,404954.93,United Kingdom,1
76,5391,102,2980,EN170482,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,3/29/2014,2014,LGW/CMF/LGW,B737-700,2,148,3.5,818.08,17700.02351,404954.93,United Kingdom,1
76,5391,102,2980,EN170482,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,3/30/2014,2014,BRS/CMF/BRS,B737-700,2,148,3.75,968.4,17700.02351,404954.93,United Kingdom,1
76,5391,102,2980,EN170482,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,3/30/2014,2014,LGW/CMF/LGW,B737-700,2,148,3.59,818.08,17700.02351,404954.93,United Kingdom,1
77,5391,102,2980,EN170483,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,4/5/2014,2014,LGW/CMF/LGW,B737-700,2,148,3.59,818.08,10086.89015,231251.02,United Kingdom,1
77,5391,102,2980,EN170483,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,4/6/2014,2014,BRS/CMF/BRS,B737-700,2,148,3.75,968.4,10086.89015,231251.02,United Kingdom,1
77,5391,102,2980,EN170483,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,4/6/2014,2014,LGW/CMF/LGW,B737-700,2,148,3.59,818.08,10086.89015,231251.02,United Kingdom,1
77,5391,102,2980,EN170483,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,4/12/2014,2014,LGW/CMF/LGW,B737-700,2,148,3.5,818.08,10086.89015,231251.02,United Kingdom,1
77,5391,102,2980,EN170483,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,4/13/2014,2014,BRS/CMF/BRS,B737-700,2,148,3.75,968.4,10086.89015,231251.02,United Kingdom,1
77,5391,102,2980,EN170483,Invoiced,TOUR,Tour Operators,UK,Tour Ops,8/7/2013,8/7/2013,4/13/2014,2014,LGW/CMF/LGW,B737-700,2,148,3.59,818.08,10086.89015,231251.02,United Kingdom,1
