Accountid,enqid,product,brokercountry,owner,qtq_firstflightdate,Grossprofit
781,125,CJ,United Kingdom,PTODHU,2016-02-09 00:00:00,4497.085392
343,126,CJ,United Kingdom,CGRANT,2016-08-28 00:00:00,375.277831
549,127,CJ,France,CBOUGE,2016-06-14 00:00:00,2791.547981
531,128,Tour Ops,Austria,BEGGER,2016-06-05 00:00:00,2530.002335
479,129,Tour Ops,Italy,DROSA,2016-04-23 00:00:00,1121.3231
813,130,CJ,Germany,IMUTLU,2016-02-05 00:00:00,1857.345289
813,131,CJ,Germany,IMUTLU,2016-03-04 00:00:00,1576.524434
813,132,CJ,Germany,IMUTLU,2016-04-01 00:00:00,1850.760946
813,133,CJ,Germany,IMUTLU,2016-05-09 00:00:00,1292.039319
813,134,CJ,Germany,IMUTLU,2016-06-10 00:00:00,1566.581051
813,135,CJ,Germany,IMUTLU,2016-07-01 00:00:00,566.542748
813,136,CJ,Germany,IMUTLU,2016-08-05 00:00:00,1610.939994
813,137,CJ,Germany,IMUTLU,2016-09-02 00:00:00,1821.102164
813,138,CJ,Germany,IMUTLU,2016-10-02 00:00:00,1497.883955
813,139,CJ,Germany,IMUTLU,2016-11-03 00:00:00,2054.745106
813,140,CJ,Germany,IMUTLU,2016-12-02 00:00:00,1722.761964
520,141,CJ,Germany,IMUTLU,2016-02-01 00:00:00,5653.124293
520,142,CJ,Germany,IMUTLU,2016-03-01 00:00:00,6907.882078
520,143,CJ,Germany,IMUTLU,2016-04-01 00:00:00,6500.706684
520,144,CJ,Germany,IMUTLU,2016-05-01 00:00:00,4955.597843
520,145,CJ,Germany,IMUTLU,2016-06-01 00:00:00,5837.030119
520,146,CJ,Germany,IMUTLU,2016-07-01 00:00:00,1977.378786
520,147,CJ,Germany,IMUTLU,2016-08-01 00:00:00,6311.53749
520,148,CJ,Germany,IMUTLU,2016-09-01 00:00:00,10821.57282
520,149,CJ,Germany,IMUTLU,2016-10-01 00:00:00,9847.517064
520,150,CJ,Germany,IMUTLU,2016-11-01 00:00:00,5133.470226
520,151,CJ,Germany,IMUTLU,2016-12-01 00:00:00,216.863289
353,152,Tour Ops,Austria,BEGGER,2016-02-07 00:00:00,1507.499812
353,153,Tour Ops,Austria,BEGGER,2016-03-06 00:00:00,1551.59038
353,154,Tour Ops,Austria,BEGGER,2016-04-03 00:00:00,1952.16417
48,155,CJ,Italy,DROSA,2016-03-18 00:00:00,6909.425913
613,156,CJ,United Kingdom,PTODHU,2016-06-15 00:00:00,6824.628955
353,157,Tour Ops,United Kingdom,AMURR,2016-02-01 00:00:00,11268.32
353,158,Tour Ops,United Kingdom,AMURR,2016-03-01 00:00:00,11268.32
353,159,Tour Ops,United Kingdom,AMURR,2016-04-01 00:00:00,11268.32
53,160,CJ,United Kingdom,WTAYLO,2016-04-21 00:00:00,3167.970424
430,161,Tour Ops,United Kingdom,NMOR,2016-02-13 00:00:00,3340.689756
430,162,Tour Ops,United Kingdom,NMOR,2016-02-13 00:00:00,3342.953933
778,163,CJ,France,CBOUGE,2016-09-19 00:00:00,1437.617665
649,164,Tour Ops,Italy,ABETTO,2016-05-28 00:00:00,2250.895972
364,165,CJ,Austria,MTRULL,2016-05-30 00:00:00,7995.706433
79,166,CJ,Austria,MTRULL,2016-05-26 00:00:00,3060.577229
77,167,CJ,Germany,SGOEBE,2016-04-17 00:00:00,780.865667
364,168,CJ,Austria,MTRULL,2016-08-31 00:00:00,7902.314236
353,169,CJ,Italy,AALTAM,2016-02-13 00:00:00,12832.154987
625,170,CJ,Austria,BEGGER,2016-05-19 00:00:00,2022.48652
514,171,CJ,France,ALAUNA,2016-05-26 00:00:00,8836.465276
354,172,CJ,Austria,BEGGER,2016-05-09 00:00:00,792.895655
45,173,CJ,United Kingdom,YABDEL,2016-04-15 00:00:00,3274.900002
765,174,CJ,France,CBOUGE,2016-09-29 00:00:00,2617.893206
44,175,Tour Ops,United Kingdom,LBARBE,2016-02-14 00:00:00,778.26
491,176,CJ,United Kingdom,DTUGWE,2016-03-08 00:00:00,16311.992858
528,177,CJ,Italy,CLEGRO,2016-05-26 00:00:00,4749.318106
724,178,Tour Ops,France,KRIGHI,2016-02-10 00:00:00,10526.449088
4,179,Tour Ops,United Kingdom,LBARBE,2016-02-06 00:00:00,528.0
4,180,Tour Ops,United Kingdom,LBARBE,2016-03-05 00:00:00,528.0
4,181,Tour Ops,United Kingdom,LBARBE,2016-04-02 00:00:00,132.0
44,182,Tour Ops,United Kingdom,LBARBE,2016-02-07 00:00:00,528.0
44,183,Tour Ops,United Kingdom,LBARBE,2016-03-06 00:00:00,528.0
44,184,Tour Ops,United Kingdom,LBARBE,2016-04-03 00:00:00,132.0
44,185,Tour Ops,United Kingdom,LBARBE,2016-02-07 00:00:00,528.0
44,186,Tour Ops,United Kingdom,LBARBE,2016-03-06 00:00:00,199.0
44,187,Tour Ops,United Kingdom,LBARBE,2016-02-13 00:00:00,599.97
741,188,CJ,France,CBOUGE,2016-10-09 00:00:00,19323.139934
593,189,CJ,Germany,SDROBJ,2016-08-23 00:00:00,3119.225476
807,190,CJ,Germany,CJUDIC,2016-03-29 00:00:00,3009.309543
563,191,Tour Ops,Italy,ABETTO,2016-02-01 00:00:00,224.466722
563,192,Tour Ops,Italy,ABETTO,2016-02-08 00:00:00,215.30866
563,193,Tour Ops,Italy,ABETTO,2016-02-15 00:00:00,264.438078
563,194,Tour Ops,Italy,ABETTO,2016-02-22 00:00:00,55.769955
563,195,Tour Ops,Italy,ABETTO,2016-02-29 00:00:00,103.263737
563,196,Tour Ops,Italy,ABETTO,2016-03-07 00:00:00,262.629945
563,197,Tour Ops,Italy,ABETTO,2016-03-14 00:00:00,203.320405
563,198,Tour Ops,Italy,ABETTO,2016-03-21 00:00:00,317.765711
563,199,Tour Ops,Italy,ABETTO,2016-03-28 00:00:00,435.593485
610,200,CJ,United Kingdom,PTODHU,2016-05-26 00:00:00,4408.379654
393,201,CJ,United Kingdom,DTUGWE,2016-06-12 00:00:00,1569.065826
364,202,CJ,Austria,MTRULL,2016-06-14 00:00:00,2848.470697
370,203,CJ,United Kingdom,DTUGWE,2016-02-22 00:00:00,17237.503433
364,204,CJ,Austria,MTRULL,2016-06-13 00:00:00,5937.364777
588,205,Tour Ops,Austria,BEGGER,2016-10-09 00:00:00,4526.168942
494,206,CJ,France,DHOPFG,2016-03-24 00:00:00,6802.92341
513,207,Tour Ops,Italy,ABETTO,2016-06-11 00:00:00,1276.893144
328,208,CJ,Italy,CLEGRO,2016-05-05 00:00:00,8764.747858
364,209,CJ,Austria,MTRULL,2016-06-13 00:00:00,16285.415207
706,210,CJ,Italy,DROSA,2016-07-24 00:00:00,12169.864746
828,211,CJ,United Kingdom,CGRANT,2016-05-30 00:00:00,494.55576
353,212,CJ,Italy,AALTAM,2016-02-12 00:00:00,590.811787
628,213,CJ,Italy,AALTAM,2016-05-28 00:00:00,3171.582619
587,214,Tour Ops,Germany,PSPCGN,2016-09-15 00:00:00,13251.548863
19,215,Tour Ops,United Kingdom,AMURR,2016-06-08 00:00:00,8618.474819
396,216,CJ,Austria,MTRULL,2016-02-16 00:00:00,8931.785634
19,217,Tour Ops,United Kingdom,AMURR,2016-07-06 00:00:00,8543.388849
19,218,Tour Ops,United Kingdom,AMURR,2016-08-03 00:00:00,10386.454049
19,219,Tour Ops,United Kingdom,AMURR,2016-09-07 00:00:00,8328.36626
19,220,Tour Ops,United Kingdom,AMURR,2016-10-05 00:00:00,8462.106399
19,221,Tour Ops,United Kingdom,AMURR,2016-11-02 00:00:00,2108.455264
790,222,CJ,Italy,DROSA,2016-04-18 00:00:00,13200.596581
540,223,Tour Ops,France,TELFAS,2016-04-16 00:00:00,1429.554207
540,224,Tour Ops,France,TELFAS,2016-04-23 00:00:00,1295.448335
540,225,Tour Ops,France,TELFAS,2016-04-30 00:00:00,1253.554895
540,226,Tour Ops,France,TELFAS,2016-05-07 00:00:00,1299.548048
540,227,Tour Ops,France,TELFAS,2016-05-14 00:00:00,1299.54805
540,228,Tour Ops,France,TELFAS,2016-05-21 00:00:00,2533.476056
540,229,Tour Ops,France,TELFAS,2016-05-28 00:00:00,1700.935617
540,230,Tour Ops,France,TELFAS,2016-06-04 00:00:00,1253.18702
540,231,Tour Ops,France,TELFAS,2016-06-11 00:00:00,1333.854777
540,232,Tour Ops,France,TELFAS,2016-06-18 00:00:00,1321.316836
540,233,Tour Ops,France,TELFAS,2016-06-25 00:00:00,1321.316835
540,234,Tour Ops,France,TELFAS,2016-07-02 00:00:00,914.118486
540,235,Tour Ops,France,TELFAS,2016-07-09 00:00:00,914.118488
540,236,Tour Ops,France,TELFAS,2016-07-16 00:00:00,964.960849
540,237,Tour Ops,France,TELFAS,2016-07-23 00:00:00,964.96085
540,238,Tour Ops,France,TELFAS,2016-07-30 00:00:00,964.96085
540,239,Tour Ops,France,TELFAS,2016-08-06 00:00:00,1138.374149
540,240,Tour Ops,France,TELFAS,2016-08-13 00:00:00,1026.676767
540,241,Tour Ops,France,TELFAS,2016-08-20 00:00:00,1026.676767
540,242,Tour Ops,France,TELFAS,2016-08-27 00:00:00,1026.676767
540,243,Tour Ops,France,TELFAS,2016-09-03 00:00:00,1043.984256
540,244,Tour Ops,France,TELFAS,2016-09-10 00:00:00,1028.932059
540,245,Tour Ops,France,TELFAS,2016-09-17 00:00:00,1043.984256
540,246,Tour Ops,France,TELFAS,2016-09-24 00:00:00,1043.984256
540,247,Tour Ops,France,TELFAS,2016-10-01 00:00:00,2312.28669
641,248,CJ,Italy,DROSA,2016-03-04 00:00:00,7330.954232
767,249,Tour Ops,France,TELFAS,2016-07-24 00:00:00,2062.65918
767,250,Tour Ops,France,TELFAS,2016-07-31 00:00:00,1728.347702
767,251,Tour Ops,France,TELFAS,2016-08-07 00:00:00,1805.310106
767,252,Tour Ops,France,TELFAS,2016-08-14 00:00:00,1888.58874
767,253,Tour Ops,France,TELFAS,2016-08-21 00:00:00,3250.963561
767,254,Tour Ops,France,TELFAS,2016-08-28 00:00:00,3985.289909
624,255,Tour Ops,France,TELFAS,2016-04-19 00:00:00,951.094385
356,256,CJ,Austria,MGERNE,2016-05-12 00:00:00,1704.725658
624,257,Tour Ops,France,TELFAS,2016-04-26 00:00:00,3011.018017
624,258,Tour Ops,France,TELFAS,2016-05-03 00:00:00,2845.702507
624,259,Tour Ops,France,TELFAS,2016-05-10 00:00:00,2845.702506
624,260,Tour Ops,France,TELFAS,2016-05-17 00:00:00,3117.729147
562,261,Tour Ops,Italy,AALTAM,2016-04-23 00:00:00,1461.249543
520,262,CJ,Germany,SDROBJ,2016-04-15 00:00:00,19365.468558
569,263,CJ,France,ALAUNA,2016-02-03 00:00:00,2288.934952
82,264,CJ,United Kingdom,NCOOPE,2016-05-22 00:00:00,2522.421169
811,265,Tour Ops,France,KRIGHI,2016-04-14 00:00:00,12351.897114
718,266,CJ,United Kingdom,PTODHU,2016-05-19 00:00:00,7816.703334
704,267,CJ,Germany,SDROBJ,2016-03-05 00:00:00,5650.00776
382,268,Tour Ops,Austria,BEGGER,2016-04-28 00:00:00,18631.923352
382,269,Tour Ops,Austria,BEGGER,2016-05-02 00:00:00,7519.917538
382,270,Tour Ops,Austria,BEGGER,2016-05-05 00:00:00,26149.881067
382,271,Tour Ops,Austria,BEGGER,2016-05-09 00:00:00,13210.751667
382,272,Tour Ops,Austria,BEGGER,2016-05-12 00:00:00,3722.922616
382,273,Tour Ops,Austria,BEGGER,2016-05-16 00:00:00,-7774.357754
382,274,Tour Ops,Austria,BEGGER,2016-05-19 00:00:00,2317.602285
382,275,Tour Ops,Austria,BEGGER,2016-05-23 00:00:00,6090.913417
382,276,Tour Ops,Austria,BEGGER,2016-05-26 00:00:00,5044.45766
382,277,Tour Ops,Austria,BEGGER,2016-05-30 00:00:00,-16607.445292
824,278,CJ,Germany,SDROBJ,2016-06-11 00:00:00,0.0
682,279,CJ,United Kingdom,CGRANT,2016-02-02 00:00:00,18169.055403
682,280,CJ,United Kingdom,CGRANT,2016-02-16 00:00:00,46589.580323
657,281,CJ,United Kingdom,DTUGWE,2016-03-05 00:00:00,689.047034
657,282,CJ,United Kingdom,DTUGWE,2016-02-13 00:00:00,967.878788
657,283,CJ,United Kingdom,DTUGWE,2016-02-26 00:00:00,594.152425
464,284,CJ,Germany,MHERTH,2016-06-24 00:00:00,4237.683866
531,285,Tour Ops,Austria,BEGGER,2016-06-11 00:00:00,996.186474
531,286,Tour Ops,Austria,BEGGER,2016-06-18 00:00:00,996.186474
531,287,Tour Ops,Austria,BEGGER,2016-06-25 00:00:00,996.186474
531,288,Tour Ops,Austria,BEGGER,2016-07-02 00:00:00,1012.417939
531,289,Tour Ops,Austria,BEGGER,2016-07-09 00:00:00,616.942181
531,290,Tour Ops,Austria,BEGGER,2016-07-16 00:00:00,616.942181
531,291,Tour Ops,Austria,BEGGER,2016-07-23 00:00:00,616.942181
531,292,Tour Ops,Austria,BEGGER,2016-07-30 00:00:00,616.942181
531,293,Tour Ops,Austria,BEGGER,2016-08-06 00:00:00,656.399899
531,294,Tour Ops,Austria,BEGGER,2016-08-13 00:00:00,656.399899
531,295,Tour Ops,Austria,BEGGER,2016-08-20 00:00:00,656.399899
531,296,Tour Ops,Austria,BEGGER,2016-08-27 00:00:00,656.399899
531,297,Tour Ops,Austria,BEGGER,2016-09-03 00:00:00,667.465344
531,298,Tour Ops,Austria,BEGGER,2016-09-10 00:00:00,1095.327743
531,299,Tour Ops,Austria,BEGGER,2016-09-17 00:00:00,985.794969
531,300,Tour Ops,Austria,BEGGER,2016-09-24 00:00:00,667.465344
531,301,Tour Ops,Austria,BEGGER,2016-05-14 00:00:00,3954.963528
614,302,CJ,France,SFEILL,2016-06-23 00:00:00,10938.765664
599,303,CJ,France,CBOUGE,2016-05-29 00:00:00,1874.397402
711,304,CJ,France,KRIGHI,2016-03-22 00:00:00,5645.166799
711,305,CJ,France,KRIGHI,2016-11-15 00:00:00,4501.008844
364,306,CJ,Austria,MTRULL,2016-06-14 00:00:00,11767.374891
695,307,CJ,Austria,BEGGER,2016-06-03 00:00:00,1210.989182
373,308,CJ,Germany,SDROBJ,2016-02-15 00:00:00,2929.976635
364,309,CJ,Austria,MTRULL,2016-06-14 00:00:00,18301.0351
531,310,Tour Ops,Austria,BEGGER,2016-10-01 00:00:00,426.62116
21,311,CJ,Austria,MGERNE,2016-06-14 00:00:00,1284.146626
47,312,CJ,Italy,ALONGH,2016-03-18 00:00:00,4697.401088
679,313,CJ,Germany,CJUDIC,2016-04-10 00:00:00,3458.828858
83,314,CJ,Italy,EMEAZZ,2016-09-11 00:00:00,1928.803698
21,315,CJ,Austria,MGERNE,2016-06-22 00:00:00,2731.730096
672,316,CJ,USA,SMOORE,2016-04-29 00:00:00,4517.299461
351,317,CJ,USA,SMOORE,2016-02-08 00:00:00,5696.066214
629,318,CJ,United Kingdom,YABDEL,2016-02-29 00:00:00,8000.0
578,319,CJ,United Kingdom,DTUGWE,2016-06-10 00:00:00,1062.762468
444,320,CJ,France,SFEILL,2016-03-23 00:00:00,6307.796742
577,321,CJ,Austria,BEGGER,2016-08-30 00:00:00,6690.919805
477,322,CJ,Austria,BEGGER,2016-09-08 00:00:00,1223.926064
48,323,CJ,Germany,CJUDIC,2016-04-18 00:00:00,5560.430573
546,324,CJ,United Kingdom,CGRANT,2016-02-10 00:00:00,1417.127557
578,325,CJ,United Kingdom,DTUGWE,2016-06-13 00:00:00,1579.740397
593,326,CJ,Germany,IMUTLU,2016-03-22 00:00:00,2369.27851
823,327,CJ,United Kingdom,CSC,2016-02-04 00:00:00,51903.66
823,328,CJ,United Kingdom,CSC,2016-04-07 00:00:00,51870.09
85,329,Tour Ops,Italy,ABETTO,2016-06-19 00:00:00,928.391314
513,330,Tour Ops,Italy,ABETTO,2016-06-12 00:00:00,1245.240875
409,331,Tour Ops,Italy,ABETTO,2016-06-12 00:00:00,5101.821155
328,332,CJ,Italy,CLEGRO,2016-10-02 00:00:00,10828.762801
578,333,CJ,United Kingdom,DTUGWE,2016-06-12 00:00:00,2788.844622
364,334,CJ,Austria,MTRULL,2016-10-08 00:00:00,5097.192832
494,335,CJ,France,DHOPFG,2016-05-17 00:00:00,44540.781348
370,336,CJ,United Kingdom,DTUGWE,2016-07-07 00:00:00,7187.042297
651,337,CJ,Italy,CLEGRO,2016-02-15 00:00:00,3036.700084
33,338,CJ,Italy,CLEGRO,2016-02-01 00:00:00,3338.282959
519,339,CJ,Italy,EMEAZZ,2016-03-19 00:00:00,1163.692785
522,340,CJ,Italy,ALONGH,2016-02-02 00:00:00,1019.672871
779,341,Tour Ops,France,TELFAS,2016-04-11 00:00:00,282.485964
779,342,Tour Ops,France,TELFAS,2016-04-18 00:00:00,463.209514
779,343,Tour Ops,France,TELFAS,2016-04-25 00:00:00,506.328916
779,344,Tour Ops,France,TELFAS,2016-05-02 00:00:00,487.059942
779,345,Tour Ops,France,TELFAS,2016-05-09 00:00:00,534.261018
779,346,Tour Ops,France,TELFAS,2016-05-16 00:00:00,564.343479
779,347,Tour Ops,France,TELFAS,2016-05-23 00:00:00,662.567393
779,348,Tour Ops,France,TELFAS,2016-05-30 00:00:00,476.213129
779,349,Tour Ops,France,TELFAS,2016-06-06 00:00:00,246.104757
779,350,Tour Ops,France,TELFAS,2016-06-13 00:00:00,-850.867771
779,351,Tour Ops,France,TELFAS,2016-06-20 00:00:00,-1636.92116
779,352,Tour Ops,France,TELFAS,2016-06-27 00:00:00,-1042.711495
779,353,Tour Ops,France,TELFAS,2016-07-04 00:00:00,389.717629
779,354,Tour Ops,France,TELFAS,2016-07-11 00:00:00,364.525821
779,355,Tour Ops,France,TELFAS,2016-07-18 00:00:00,208.15471
779,356,Tour Ops,France,TELFAS,2016-07-25 00:00:00,-55.034408
779,357,Tour Ops,France,TELFAS,2016-08-01 00:00:00,160.716991
779,358,Tour Ops,France,TELFAS,2016-08-08 00:00:00,446.688546
779,359,Tour Ops,France,TELFAS,2016-08-15 00:00:00,446.688546
