HashEncode_0,HashEncode_1,HashEncode_2,HashEncode_3,HashEncode_4,HashEncode_5,HashEncode_6,HashEncode_7,companyid,Round_trip,ProfitMargin(%),Scaled_gross_log,Scaled_Distance_log,Scaled_FlightTime_log,Country_France,Country_Germany,Country_Italy,Country_Monaco,Country_Other,Country_Sweden,Country_Switzerland,Country_Turkey,Country_United Kingdom,Country_United States,Product_Tour Ops,passengersRange_1,passengersRange_2,passengersRange_3,categ_aircraft,categ_0,categ_1,categ_2,categ_3,categ_4,categ_5
0,0,0,1,1,0,0,0,2736,1,2,0.5766622549302851,0.5156753297681999,0.4981416206497131,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.0,3616.260703,0.0,0.0,0.0,0.0
0,0,0,0,1,0,0,1,3072,0,2,0.9677734436004839,0.5736721809529197,0.5476106872078019,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0.0,0.0,0.0,0.0,40928.88393,0.0
0,0,0,0,1,0,1,0,3915,1,3,0.7271640318230616,0.6529464033805044,0.6247318629122917,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,9199.334233,0.0,0.0,0.0,0.0
0,0,0,1,0,0,1,0,2509,1,1,0.5309254271580023,0.4763071680153649,0.47154056579028775,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,2722.89616
0,0,0,0,2,0,0,0,2187,1,4,0.3700674292548394,0.4553246468168201,0.5182494058607149,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0.0,0.0,0.0,0.0,0.0,1003.764116
0,0,0,0,1,0,1,0,3670,1,1,0.5002408238475113,0.43856688898267676,0.43543893964142716,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,2250.907292000001,0.0,0.0,0.0,0.0
0,0,0,0,1,0,0,1,2305,1,0,0.4341345623401924,0.5412308427001692,0.536648808533341,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,1493.645817,0.0,0.0,0.0,0.0
0,0,0,2,0,0,0,0,3657,1,3,0.6168703743580264,0.5692967090964457,0.5630256679682311,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0.0,0.0,0.0,0.0,0.0,4640.7951189999985
0,0,0,0,1,0,1,0,2876,1,2,0.4743610492543675,0.39755490633030216,0.4402273532863391,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1917.033835,0.0,0.0,0.0,0.0,0.0
1,0,0,0,1,0,0,0,3931,1,1,0.4821315680221453,0.4487148183015764,0.4494325676346799,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0.0,0.0,0.0,0.0,0.0,2011.712307
0,0,0,1,0,0,0,1,3260,1,3,0.6877164606684051,0.3872104075829026,0.3683949440456761,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7202.327712,0.0,0.0,0.0,0.0,0.0
1,0,0,0,1,0,0,0,2121,1,1,0.4614954745100066,0.4476713306890735,0.4494325676346799,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,1769.970725,0.0,0.0,0.0,0.0
0,0,0,0,1,0,1,0,4040,1,2,0.6510407288315265,0.654317212464025,0.6348580772088942,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0,5736.638986999998,0.0,0.0,0.0,0.0
0,0,0,0,1,0,0,1,3348,1,4,0.7537900402830497,0.5308611972637344,0.5120597625270021,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.0,10851.62568,0.0,0.0,0.0,0.0
0,0,0,0,1,0,1,0,4085,1,0,0.5949703898249302,0.7298269230919622,0.7193501936402186,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,4051.233795,0.0,0.0,0.0,0.0
0,0,0,0,1,1,0,0,2825,0,2,0.4188474704138966,0.21988812059768825,0.3174290386044471,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1358.5,0.0,0.0,0.0,0.0,0.0
