Flight date,Accountid,enqid,product,brokercountry,owner,Grossprofit
2018-03-25 00:00:00,355,2507,Tour Ops,United Kingdom,AMURR,1922.159666
2018-04-01 00:00:00,355,2508,Tour Ops,United Kingdom,AMURR,2066.302521
2018-04-08 00:00:00,355,2509,Tour Ops,United Kingdom,AMURR,2147.268909
2018-04-15 00:00:00,355,2510,Tour Ops,United Kingdom,AMURR,2049.495798
2016-08-13 00:00:00,155,2511,CJ,Italy,DROSA,1530.758227
2016-08-14 00:00:00,155,2512,CJ,Italy,DROSA,6775.553311
2016-08-15 00:00:00,155,2513,CJ,Italy,DROSA,5417.360936
2017-01-14 00:00:00,519,2514,CJ,Italy,EMEAZZ,1606.664978
2017-02-10 00:00:00,519,2515,CJ,Italy,EMEAZZ,3013.863773
2017-02-18 00:00:00,519,2516,CJ,Italy,EMEAZZ,1167.9238779999998
2017-01-18 00:00:00,519,2517,CJ,Italy,EMEAZZ,380.131779
2017-01-18 00:00:00,720,2518,CJ,Italy,EMEAZZ,844.7372869999999
2017-02-15 00:00:00,147,2519,CJ,Italy,EMEAZZ,3395.711703
2017-04-18 00:00:00,156,2520,CJ,United Kingdom,JCAVAL,4550.136192
2017-02-12 00:00:00,44,2521,Tour Ops,United Kingdom,LBARBE,1516.5
2017-01-20 00:00:00,637,2522,CJ,Italy,ALONGH,3448.817373
2017-01-20 00:00:00,789,2523,CJ,United Kingdom,WTAYLO,2483.66
2017-01-01 00:00:00,743,2524,CJ,United Kingdom,MHOLT,1786.8
2017-01-06 00:00:00,743,2525,CJ,United Kingdom,MHOLT,969.04
2017-01-13 00:00:00,743,2526,CJ,United Kingdom,MHOLT,1635.05
2017-01-24 00:00:00,743,2527,CJ,United Kingdom,MHOLT,1684.02
2017-02-15 00:00:00,396,2528,CJ,Austria,BEGGER,13393.274779000001
2017-01-21 00:00:00,559,2529,CJ,Italy,DROSA,1723.2640649999998
2017-04-23 00:00:00,793,2530,Tour Ops,Germany,CJUDIC,4440.255704
2017-02-03 00:00:00,637,2531,CJ,Italy,ALONGH,4309.584091
2017-02-18 00:00:00,637,2532,CJ,Italy,ALONGH,3330.7328030000003
2017-05-21 00:00:00,356,2533,Tour Ops,Italy,AALTAM,2166.508295
2017-01-02 00:00:00,33,2534,CJ,Italy,CLEGRO,2615.66143
2017-04-22 00:00:00,837,2535,CJ,Italy,SKOSEK,2326.5635780000002
2016-12-31 00:00:00,132,2536,CJ,United Kingdom,CGRANT,4490.29
2017-05-01 00:00:00,638,2537,CJ,Italy,SKOSEK,1512.707324
2017-07-04 00:00:00,343,2538,CJ,United Kingdom,CGRANT,17464.306939
2017-06-18 00:00:00,372,2539,CJ,United Kingdom,NCOOPE,3703.305223
2017-09-11 00:00:00,23,2540,Tour Ops,Austria,BEGGER,3099.070025
2017-05-30 00:00:00,377,2541,CJ,Austria,BEGGER,22892.190740000002
2017-03-08 00:00:00,823,2542,CJ,United Kingdom,MHOLT,77851.431625
2017-05-17 00:00:00,144,2543,CJ,France,ALAUNA,939.8756070000001
2017-06-15 00:00:00,420,2544,CJ,France,CBOUGE,1140.869046
2017-10-01 00:00:00,793,2545,Tour Ops,Germany,CJUDIC,119085.247524
2017-07-18 00:00:00,370,2546,CJ,United Kingdom,DTUGWE,55807.85717999999
2017-04-20 00:00:00,420,2547,CJ,France,CBOUGE,974.775399
2017-02-16 00:00:00,528,2548,CJ,Italy,CLEGRO,15500.619988
2017-01-18 00:00:00,834,2549,CJ,Germany,SDROBJ,16909.106267
2017-02-18 00:00:00,412,2550,CJ,Italy,EMEAZZ,1722.207871
2017-02-09 00:00:00,823,2551,CJ,United Kingdom,MHOLT,12215.757270999999
2017-03-16 00:00:00,823,2552,CJ,United Kingdom,MHOLT,12054.470436
2016-11-01 00:00:00,49,2553,Tour Ops,United Kingdom,LBARBE,75.52
2017-02-01 00:00:00,396,2554,CJ,Austria,MTRULL,12520.451219
2017-02-15 00:00:00,147,2555,CJ,Italy,EMEAZZ,3806.001897
2017-04-27 00:00:00,153,2556,CJ,Italy,DROSA,4297.209747
2017-02-04 00:00:00,448,2557,CJ,Italy,DROSA,8176.913804000001
2017-03-24 00:00:00,447,2558,Tour Ops,France,TELFAS,395.92259900000005
2017-03-31 00:00:00,447,2559,Tour Ops,France,TELFAS,3049.136145
2017-04-07 00:00:00,447,2560,Tour Ops,France,TELFAS,1461.109194
