Flight date,Accountid,enqid,product,brokercountry,owner,Grossprofit
2017-09-10 00:00:00,662,2774,Tour Ops,France,TELFAS,732.868342
2017-09-17 00:00:00,662,2775,Tour Ops,France,TELFAS,742.6331150000001
2017-09-24 00:00:00,662,2776,Tour Ops,France,TELFAS,549.25237
2017-10-01 00:00:00,662,2777,Tour Ops,France,TELFAS,700.895174
2017-04-10 00:00:00,662,2778,Tour Ops,France,TELFAS,1010.5390460000001
2017-04-17 00:00:00,662,2779,Tour Ops,France,TELFAS,631.867656
2017-04-24 00:00:00,662,2780,Tour Ops,France,TELFAS,556.841739
2017-05-08 00:00:00,662,2781,Tour Ops,France,TELFAS,496.181757
2017-05-15 00:00:00,662,2782,Tour Ops,France,TELFAS,486.66206100000005
2017-05-22 00:00:00,662,2783,Tour Ops,France,TELFAS,471.060816
2017-05-29 00:00:00,662,2784,Tour Ops,France,TELFAS,501.088458
2017-06-05 00:00:00,662,2785,Tour Ops,France,TELFAS,481.04525
2017-06-12 00:00:00,662,2786,Tour Ops,France,TELFAS,974.929434
2017-06-19 00:00:00,662,2787,Tour Ops,France,TELFAS,480.70310599999993
2017-06-26 00:00:00,662,2788,Tour Ops,France,TELFAS,487.631512
2017-07-03 00:00:00,662,2789,Tour Ops,France,TELFAS,527.560783
2017-07-10 00:00:00,662,2790,Tour Ops,France,TELFAS,327.508119
2017-07-17 00:00:00,662,2791,Tour Ops,France,TELFAS,466.50575
2017-07-24 00:00:00,662,2792,Tour Ops,France,TELFAS,305.23128199999996
2017-07-31 00:00:00,662,2793,Tour Ops,France,TELFAS,666.9007280000001
2017-08-07 00:00:00,662,2794,Tour Ops,France,TELFAS,907.5682390000001
2017-08-14 00:00:00,662,2795,Tour Ops,France,TELFAS,1217.75966
2017-08-21 00:00:00,662,2796,Tour Ops,France,TELFAS,1013.585609
2017-08-28 00:00:00,662,2797,Tour Ops,France,TELFAS,834.81035
2017-09-04 00:00:00,662,2798,Tour Ops,France,TELFAS,542.250181
2017-09-11 00:00:00,662,2799,Tour Ops,France,TELFAS,491.566374
2017-09-18 00:00:00,662,2800,Tour Ops,France,TELFAS,411.889131
2017-09-25 00:00:00,662,2801,Tour Ops,France,TELFAS,765.308167
2017-10-09 00:00:00,662,2802,Tour Ops,France,TELFAS,2022.200339
2017-10-02 00:00:00,662,2803,Tour Ops,France,TELFAS,1582.481424
